,Year,Season,Weather,Average Based on Daily Entries,Total Based on Daily Entries,Average Based on Hourly Entries,Total Based on Hourly Entries
0,2011,Fall,Clear/Partly Cloudy,4684.090909090909,309150.0,196.37046153846154,319102
1,2011,Fall,Light Snow/Rain,2182.6666666666665,6548.0,118.51700680272108,17422
2,2011,Fall,Mist/Few Clouds,4158.08,103952.0,177.6196581196581,83126
3,2011,Springer,Clear/Partly Cloudy,1777.4107142857142,99535.0,76.74846153846154,99773
4,2011,Springer,Light Snow/Rain,564.5,1129.0,38.19774011299435,6761
5,2011,Springer,Mist/Few Clouds,1541.75,49336.0,73.61016949152543,43430
6,2011,Summer,Clear/Partly Cloudy,4236.9807692307695,220323.0,175.28592375366568,239090
7,2011,Summer,Light Snow/Rain,1240.0,2480.0,103.85844748858447,22745
8,2011,Summer,Mist/Few Clouds,3276.657894736842,124513.0,137.8725806451613,85481
9,2011,Winter,Clear/Partly Cloudy,3962.673076923077,206059.0,160.094395280236,217088
10,2011,Winter,Light Snow/Rain,1869.375,14955.0,86.41596638655462,20567
11,2011,Winter,Mist/Few Clouds,3624.9310344827586,105123.0,163.85555555555555,88482
12,2012,Fall,Clear/Partly Cloudy,7004.185714285714,490293.0,291.74561933534744,482839
13,2012,Fall,Light Snow/Rain,4459.0,4459.0,236.34426229508196,28834
14,2012,Fall,Mist/Few Clouds,6379.434782608696,146727.0,270.9937369519833,129806
15,2012,Springer,Clear/Partly Cloudy,3863.6545454545453,212501.0,165.2051282051282,225505
16,2012,Springer,Light Snow/Rain,1305.0,2610.0,77.50520833333333,14881
17,2012,Springer,Mist/Few Clouds,3124.6176470588234,106237.0,131.34146341463415,80775
18,2012,Summer,Clear/Partly Cloudy,6666.606557377049,406663.0,284.5304347826087,425373
19,2012,Summer,Light Snow/Rain,1027.0,1027.0,128.4385026737968,24018
20,2012,Summer,Mist/Few Clouds,5452.766666666666,163583.0,232.59923664122138,121882
21,2012,Winter,Clear/Partly Cloudy,6145.64705882353,313428.0,262.89146049481246,329403
22,2012,Winter,Light Snow/Rain,2330.5,4661.0,168.63503649635035,23103
23,2012,Winter,Mist/Few Clouds,5482.972222222223,197387.0,230.18361581920905,162970
24,2011,Springer,Heavy Rain/Thunderstorm,,,36.0,36
25,2012,Springer,Heavy Rain/Thunderstorm,,,93.5,187
